id,name,country,url,short_url,easy-form
34,Texas A&M University,us,https://www.applytexas.org/adappc/gen/profile.WBX,https://tinyurl.com/29jwdu2,0
119,The Australian National University,au,https://student-anu.studylink.com/index.cfm?event=registration.form,https://tinyurl.com/zzb4hxp,0
47,The University of British Columbia,ca,https://evision.as.it.ubc.ca/urd/sits.urd/run/siw_ubc_cwl,https://tinyurl.com/hjwbhhc,0
96,The University of Hong Kong,hk,https://extranet.hku.hk/rola/servlet/CreateUserScreen/insertForm,https://tinyurl.com/hg6ge6z,0
129,The University of Manchester,gb,https://pgapplication.manchester.ac.uk/psp/umgap/EMPLOYEE/HRMS/c/UM_GAP_MNU.UM_GAP_IDENTIFY.GBL,https://tinyurl.com/242wy9,0
106,The University of Melbourne,au,https://prod.ss.unimelb.edu.au/student/SM/eApplications/eAppLogin.aspx?r=&f=%23UM.EAP.CI2LOGIN.WEB,https://tinyurl.com/hu2b8be,0
108,The University of New South Wales,au,https://apply.unsw.edu.au/,https://tinyurl.com/zosmkyc,0
144,The University of Nottingham,gb,https://pgapps.nottingham.ac.uk/Registration/Step1.aspx,https://tinyurl.com/jov5mtr,0
134,The University of Queensland,au,https://apply.uq.edu.au/,https://tinyurl.com/jvbckq6,0
103,The University of Tennessee,us,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fcgi-bin%2Fapplymenu%3Finstcode%3Dutg,https://tinyurl.com/jkuy39b,1
11,The University of Texas at Austin,us,https://idmanager.its.utexas.edu/eid_self_help/,https://tinyurl.com/5nehcf,0
141,The University of Warwick,gb,https://postgrad.warwick.ac.uk/SWIFT.web/skins/PGAPP/initiator/registration.aspx,https://tinyurl.com/z3y4ma3,1
70,Tsinghua University,cn,http://intlstudent.cic.tsinghua.edu.cn/app/account/register.html?_locale=en_US,https://tinyurl.com/guoy5mr,0
61,Tufts University,us,https://gradase.admissions.tufts.edu/account/register?r=https%3a%2f%2fgradase.admissions.tufts.edu%2fapply%2f,https://tinyurl.com/j7qcq4v,0
39,University of Arizona,us,https://apply.grad.arizona.edu/users/new_account,https://tinyurl.com/hvbh6du,1
131,University of Calgary,ca,https://acctman.ucalgary.ca/register/,https://tinyurl.com/jcgadpu,0
4,"University of California, Berkeley",us,https://gradadmit.berkeley.edu/jazztwo/app/createApplicant?programId=407&cycleId=181,http://tinyurl.com/zmpyq4t,1
21,"University of California, Davis",us,https://ucdgrad.askadmissions.net/emtinterestpage.aspx?ip=application,https://tinyurl.com/zsjcsos,0
